Instance,LB,ILB,TLB,UP,IUP,TUP,ITER,TIME,OPTG,OPTS
input/Spd_RF2_160_179_3019.txt, 18.50000, 1, 0, 43, 336, 0, 176435, 10, 0, 0
input/Spd_RF2_160_179_3027.txt, 18.13333, 1, 0, 45, 15, 0, 171129, 10, 0, 0
input/Spd_RF2_160_179_3035.txt, 18.30000, 1, 0, 41, 9, 0, 173795, 10, 0, 0
input/Spd_RF2_160_179_3043.txt, 18.13333, 1, 0, 42, 555, 0, 174725, 10, 0, 0
input/Spd_RF2_160_198_3051.txt, 13.25119, 1, 0, 38, 1504, 0, 155574, 10, 0, 0
input/Spd_RF2_160_198_3059.txt, 11.70000, 1, 0, 36, 32837, 2, 157079, 10, 0, 0
input/Spd_RF2_160_198_3067.txt, 12.71667, 1, 0, 35, 202, 0, 157407, 10, 0, 0
input/Spd_RF2_160_198_3075.txt, 12.51667, 1, 0, 37, 9, 0, 158800, 10, 0, 0
input/Spd_RF2_160_198_3083.txt, 13.18810, 1, 0, 37, 4574, 0, 158281, 10, 0, 0
input/Spd_RF2_160_218_3091.txt, 6.92143, 1, 0, 32, 34610, 2, 143311, 10, 0, 0
input/Spd_RF2_160_218_3099.txt, 8.29286, 1, 0, 33, 55988, 4, 122174, 10, 0, 0
input/Spd_RF2_160_218_3107.txt, 6.43810, 1, 0, 28, 7654, 0, 147745, 10, 0, 0
input/Spd_RF2_160_218_3115.txt, 6.95238, 1, 0, 30, 14097, 1, 141723, 10, 0, 0
input/Spd_RF2_160_218_3123.txt, 7.68057, 3, 0, 34, 5300, 0, 141540, 10, 0, 0
input/Spd_RF2_160_237_3131.txt, 5.90040, 20, 0, 31, 94383, 7, 129143, 10, 0, 0
input/Spd_RF2_160_237_3139.txt, 3.91380, 8, 0, 31, 19, 0, 129737, 10, 0, 0
input/Spd_RF2_160_237_3147.txt, 4.64900, 19, 0, 28, 55316, 4, 113922, 10, 0, 0
input/Spd_RF2_160_237_3155.txt, 3.00567, 8, 0, 30, 31361, 2, 113199, 10, 0, 0
input/Spd_RF2_160_237_3163.txt, 4.67100, 18, 0, 31, 20, 0, 8269, 10, 0, 0
input/Spd_RF2_160_257_3171.txt, 3.61358, 30, 0, 29, 73567, 6, 119163, 10, 0, 0
input/Spd_RF2_160_257_3179.txt, 3.88769, 29, 0, 30, 21, 0, 117219, 10, 0, 0
input/Spd_RF2_160_257_3187.txt, 1.58617, 17, 0, 28, 114340, 9, 120172, 10, 0, 0
input/Spd_RF2_160_257_3195.txt, 3.46993, 22, 0, 25, 93163, 7, 120803, 10, 0, 0
input/Spd_RF2_160_257_3203.txt, 1.77129, 20, 0, 28, 1, 0, 120827, 10, 0, 0
input/Spd_RF2_180_200_3411.txt, 21.56667, 1, 0, 48, 673, 0, 151365, 10, 0, 0
input/Spd_RF2_180_200_3419.txt, 21.40000, 1, 0, 52, 7, 0, 153002, 10, 0, 0
input/Spd_RF2_180_200_3427.txt, 21.85000, 1, 0, 50, 17, 0, 156469, 10, 0, 0
input/Spd_RF2_180_200_3435.txt, 21.73333, 1, 0, 48, 537, 0, 150714, 10, 0, 0
input/Spd_RF2_180_200_3443.txt, 20.65000, 1, 0, 49, 135, 0, 154401, 10, 0, 0
input/Spd_RF2_180_221_3451.txt, 13.45000, 1, 0, 42, 9318, 0, 141032, 10, 0, 0
input/Spd_RF2_180_221_3459.txt, 15.11667, 1, 0, 45, 9, 0, 139621, 10, 0, 0
input/Spd_RF2_180_221_3467.txt, 14.75000, 1, 0, 44, 24209, 1, 139641, 10, 0, 0
input/Spd_RF2_180_221_3475.txt, 14.45000, 1, 0, 42, 23947, 1, 140548, 10, 0, 0
input/Spd_RF2_180_221_3483.txt, 14.76667, 1, 0, 42, 49217, 3, 140254, 10, 0, 0
input/Spd_RF2_180_242_3491.txt, 9.00478, 3, 0, 35, 17, 0, 126156, 10, 0, 0
input/Spd_RF2_180_242_3499.txt, 9.89125, 3, 0, 37, 7576, 0, 125609, 10, 0, 0
