Instance,LB,ILB,TLB,UP,IUP,TUP,ITER,TIME,OPTG,OPTS
input/Spd_RF2_180_200_3443.txt, 38.70218, 86, 0, 47, 19, 0, 150890, 10, 0, 0
input/Spd_RF2_180_221_3451.txt, 26.78630, 48, 0, 39, 20, 0, 145012, 10, 0, 0
input/Spd_RF2_180_221_3459.txt, 26.87286, 35, 0, 40, 2078, 0, 142171, 10, 0, 0
input/Spd_RF2_180_221_3467.txt, 28.41274, 44, 0, 38, 55, 0, 135476, 10, 0, 0
input/Spd_RF2_180_221_3475.txt, 27.50552, 71, 0, 40, 53, 0, 128397, 10, 0, 0
input/Spd_RF2_180_221_3483.txt, 33.49861, 301, 0, 41, 156, 0, 137206, 10, 0, 0
input/Spd_RF2_180_242_3491.txt, 19.50821, 65, 0, 34, 125, 0, 131012, 10, 0, 0
input/Spd_RF2_180_242_3499.txt, 21.03861, 57, 0, 32, 82998, 6, 133049, 10, 0, 0
input/Spd_RF2_180_242_3507.txt, 18.20204, 33, 0, 34, 10, 0, 126451, 10, 0, 0
input/Spd_RF2_180_242_3515.txt, 19.98108, 47552, 3, 34, 19, 0, 120626, 10, 0, 0
input/Spd_RF2_180_242_3523.txt, 16.94329, 20, 0, 34, 16, 0, 126754, 10, 0, 0
input/Spd_RF2_180_263_3531.txt, 9.59057, 36, 0, 30, 5334, 0, 114619, 10, 0, 0
input/Spd_RF2_180_263_3539.txt, 15.02916, 66, 0, 31, 33, 0, 117455, 10, 0, 0
input/Spd_RF2_180_263_3547.txt, 15.06738, 127, 0, 29, 47, 0, 117785, 10, 0, 0
input/Spd_RF2_180_263_3555.txt, 13.50069, 68, 0, 31, 25256, 2, 117300, 10, 0, 0
input/Spd_RF2_180_263_3563.txt, 14.45751, 20, 0, 34, 28628, 2, 115392, 10, 0, 0
input/Spd_RF2_180_284_3571.txt, 7.12105, 31, 0, 26, 72475, 6, 110056, 10, 0, 0
input/Spd_RF2_180_284_3579.txt, 8.87440, 31, 0, 29, 98890, 9, 108017, 10, 0, 0
input/Spd_RF2_180_284_3587.txt, 4.83918, 26, 0, 29, 5179, 0, 108590, 10, 0, 0
input/Spd_RF2_180_284_3595.txt, 13.12350, 99, 0, 30, 43, 0, 109336, 10, 0, 0
input/Spd_RF2_180_284_3603.txt, 14.97210, 103189, 9, 33, 60, 0, 108767, 10, 0, 0
input/Spd_RF2_200_222_3811.txt, 48.27054, 327, 0, 51, 205, 0, 139730, 10, 0, 0
input/Spd_RF2_200_222_3819.txt, 47.60673, 744, 0, 52, 48, 0, 129602, 10, 0, 0
input/Spd_RF2_200_222_3827.txt, 46.53652, 94116, 6, 52, 47, 0, 138942, 10, 0, 0
input/Spd_RF2_200_222_3835.txt, 46.58600, 42222, 3, 51, 1634, 0, 138210, 10, 0, 0
input/Spd_RF2_200_222_3843.txt, 47.13649, 574, 0, 52, 5497, 0, 140426, 10, 0, 0
input/Spd_RF2_200_244_3851.txt, 35.58028, 81, 0, 43, 312, 0, 129859, 10, 0, 0
input/Spd_RF2_200_244_3859.txt, 37.15583, 196, 0, 46, 128, 0, 122994, 10, 0, 0
input/Spd_RF2_200_244_3867.txt, 33.81454, 91653, 6, 42, 36, 0, 131266, 10, 0, 0
input/Spd_RF2_200_244_3875.txt, 32.09008, 179, 0, 44, 1871, 0, 134659, 10, 0, 0
input/Spd_RF2_200_244_3883.txt, 31.12497, 45, 0, 44, 25006, 1, 126976, 10, 0, 0
input/Spd_RF2_200_267_3891.txt, 22.37841, 83, 0, 41, 35, 0, 115448, 10, 0, 0
input/Spd_RF2_200_267_3899.txt, 21.97933, 31, 0, 39, 48, 0, 113792, 10, 0, 0
input/Spd_RF2_200_267_3907.txt, 26.14855, 182, 0, 40, 16, 0, 111338, 10, 0, 0
input/Spd_RF2_200_267_3915.txt, 25.13584, 180, 0, 39, 57, 0, 112325, 10, 0, 0
input/Spd_RF2_200_267_3923.txt, 25.00169, 104, 0, 40, 33, 0, 111371, 10, 0, 0
input/Spd_RF2_200_289_3931.txt, 14.15840, 126, 0, 33, 39, 0, 104371, 10, 0, 0
input/Spd_RF2_200_289_3939.txt, 15.83975, 28, 0, 37, 97858, 9, 104704, 10, 0, 0
input/Spd_RF2_200_289_3947.txt, 16.10613, 51, 0, 35, 13620, 1, 107769, 10, 0, 0
input/Spd_RF2_200_289_3955.txt, 17.86383, 72, 0, 37, 101, 0, 106382, 10, 0, 0
input/Spd_RF2_200_289_3963.txt, 18.11471, 54, 0, 36, 8, 0, 106661, 10, 0, 0
input/Spd_RF2_200_312_3971.txt, 11.55764, 39, 0, 34, 39077, 4, 96072, 10, 0, 0
input/Spd_RF2_200_312_3979.txt, 8.97295, 27, 0, 39, 10, 0, 96015, 10, 0, 0
input/Spd_RF2_200_312_3987.txt, 14.10949, 46, 0, 39, 18, 0, 96603, 10, 0, 0
input/Spd_RF2_200_312_3995.txt, 10.47060, 60, 0, 36, 16, 0, 88195, 10, 0, 0
input/Spd_RF2_200_312_4003.txt, 13.21012, 39, 0, 38, 15148, 1, 98463, 10, 0, 0
input/Spd_RF2_20_27_211.txt, 1.00000, 132, 0, 2, 10, 0, 1472250, 10, 0, 0
input/Spd_RF2_20_27_219.txt, 1.00000, 38, 0, 3, 2, 0, 1357933, 10, 0, 0
input/Spd_RF2_20_27_227.txt, 1.00000, 178, 0, 2, 27, 0, 1432573, 10, 0, 0
input/Spd_RF2_20_27_235.txt, 3.00000, 67841, 0, 3, 8, 0, 67841, 0, 1, 0
input/Spd_RF2_20_27_243.txt, 4.00000, 44252, 0, 4, 1, 0, 44252, 0, 1, 0
input/Spd_RF2_20_34_251.txt, 0.30347, 840, 0, 2, 49, 0, 483011, 10, 0, 0
input/Spd_RF2_20_34_259.txt, 0.11886, 332578, 3, 1, 1341, 0, 1010138, 10, 0, 0
